高密市公路事业发展中心国道G309青兰线西段绿化提升项目中标公告 | 2020.02.28 | 高密市公路事业发展中心,高密市公路事业发展中心 | 山东诚德信项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939466.htm
查干湖镇人民政府吉林查干湖国家级自然保护区（前郭县）生态移民项目移民房屋及设施拆除项目中标公告 | 2020.02.28 | 查干湖镇人民政府 | 吉林松腾建设招标咨询有限公司中标公告 | 吉林 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935952.htm
济南市天桥人民医院放射科数字化胃肠机采购项目中标公告 | 2020.02.28 | 济南市天桥人民医院 | 山东华灿项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935954.htm
临城县国土空间总体规划（2019-2035年）中标公告 | 2020.02.28 | 临城县自然资源和规划局 | 河北怡泽招标代理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935937.htm
福建省福清龙华职业中专学校西餐热菜实训室建设项目中标公告 | 2020.02.28 | 福建省福清龙华职业中专学校 | 福建省闽建工程造价咨询有限公司中标公告 | 福建 | 货物/专用设备/专用仪器仪表/教学专用仪器 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935936.htm
北京市西城区园林市政管理中心2020年市政排水管线改造工程(设计)中标结果公示 | 2020.02.28 | 北京市西城区园林市政管理中心 | 德汇工程管理(北京)有限公司中标公告 | 北京 | 服务/工程咨询管理服务/工程设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935925.htm
江西明法招标有限公司关于黄城村旧房拆除工程（项目编号:JXMF2020-BG001）中标公告 | 2020.02.28 | 南昌市青山湖区京东镇黄城村民委员会 | 江西明法招标有限公司中标公告 | 江西 | 工程/工程准备/拆除工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935924.htm
省扶贫办办公智能化系统项目建设（二次）中标公示 | 2020.02.28 | 云南省人民政府扶贫开发办公室 | 云南招标股份有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935908.htm
上海市财政局、上海市教育委员会、上海第二工业大学上海第二工业大学金海路校区拓展工程财务监理服务中标公告 | 2020.02.28 | 上海市财政局、上海市教育委员会、上海第二工业大学 | 上海沪港建设咨询有限公司中标公告 | 上海 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937008.htm
乌审旗林业和草原局2020年重点区域绿化苗木采购项目中标公告 | 2020.02.28 | 乌审旗林业和草原局 | 内蒙古远瑞工程咨询有限公司中标公告 | 内蒙古 | 货物/农林牧渔业产品/林业产品/育种和育苗/苗木类 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935906.htm
福清市妇幼保健院消防环网改造工程货物类采购项目结果公告(包1) | 2020.02.28 | 福清市妇幼保健院 | 福州市福久招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935909.htm
乌审旗林业和草原局2020年春季义务植树造林苗木采购项目中标公告 | 2020.02.28 | 乌审旗林业和草原局 | 内蒙古远瑞工程咨询有限公司中标公告 | 内蒙古 | 货物/农林牧渔业产品/林业产品/育种和育苗/苗木类 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935891.htm
四川大学华西口腔医院2020-2023年保安及停车场服务项目中标公告 | 2020.02.28 | 四川大学华西口腔医院 | 四川国际招标有限责任公司中标公告 | 四川 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13936978.htm
重庆市涪陵区海绵城市修建性详细规划(20C0002)结果公告 | 2020.02.28 | 重庆市涪陵区住房和城乡建设委员会 | 重庆市涪陵区公共资源交易中心中标公告 | 重庆 | 服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935867.htm
隆化县供排水PPP项目预中标公告 | 2020.02.28 | 隆化县住房和城乡建设局 | 中宇信达项目管理有限公司中标公告 | 河北 | PPP | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935843.htm
海南省霸王岭林业局（海南霸王岭国家级自然保护区管理局）-霸王岭海南长臂猿监测试点项目-中标公告 | 2020.02.28 | 海南省霸王岭林业局（海南霸王岭国家级自然保护区管理局） | 海南白马岭招标代理有限公司中标公告 | 海南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935841.htm
锦州市实验学校德胜校区科学实验室机器人设备采购项目中标公告 | 2020.02.28 | 锦州市实验学校 | 北京中智信德管理咨询有限公司中标公告 | 辽宁 | 货物/通用设备/机械设备/其他机械设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935875.htm
上海市生态环境局综合规划处（区域协作处）工作项目采购招标项目中标公告 | 2020.02.28 | 上海市生态环境局 | 上海国际招标有限公司中标公告 | 上海 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935876.htm
上海市金山区生态环境局2020年度2021年度扬尘第三方监管服务项目采购招标项目中标公告 | 2020.02.28 | 上海市金山区生态环境局 | 上海国际招标有限公司中标公告 | 上海 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935877.htm
曲靖市马龙区中医医院全自动凝血分析仪采购项目中标公告 | 2020.02.28 | 曲靖市马龙区中医医院 | 昆明富玖建设项目管理咨询有限公司中标公告 | 云南 | 货物/专用设备/医疗设备/临床检验设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935802.htm
福建省南平第一中学武夷新区高中部建设咨询服务服务类采购项目结果公告(包1) | 2020.02.28 | 福建省南平第一中学 | 福建翔远招标咨询有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935733.htm
省全民健身中心安保项目中标（成交）公告 | 2020.02.28 | 贵州省全民健身服务中心(贵州省体育馆) | 贵州聚龙项目投资咨询有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935714.htm
安徽省蚌埠监狱蚌埠监狱罪犯食堂2020年3月蔬果等小批量生活物资采购项目中标公告 | 2020.02.28 | 安徽省蚌埠监狱 | 安徽新宏工程造价有限公司中标公告 | 安徽 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935671.htm
北京市丰台区市场监督管理局聘用辅助人员劳务费项目中标公告 | 2020.02.28 | 北京市丰台区市场监督管理局 | 中招国际招标有限公司中标公告 | 北京 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935674.htm
北京市丰台区医疗保障局医保窗口服务费项目中标公告 | 2020.02.28 | 北京市丰台区医疗保障局 | 中招国际招标有限公司中标公告 | 北京 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935670.htm
吉林大学第二医院手术动力系统鼻钻及配套耗材采购项目中标公告 | 2020.02.28 | 吉林大学第二医院 | 中金招标有限责任公司中标公告 | 吉林 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935746.htm
吉林大学第二医院手术动力系统耳钻采购项目中标公告 | 2020.02.28 | 吉林大学第二医院 | 中金招标有限责任公司中标公告 | 吉林 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935722.htm
北京市朝阳区人民政府奥运村街道办事处2019年朝阳区老旧小区综合整治-奥运村街道龙欣苑小区项目设计中标公告 | 2020.02.28 | 北京市朝阳区人民政府奥运村街道办事处 | 北京国际贸易有限公司中标公告 | 北京 | 服务/工程咨询管理服务/工程设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935636.htm
北京设计之都发展有限公司中国设计交易体验中心一期局部装修工程中标公告 | 2020.02.28 | 北京设计之都发展有限公司 | 北京精恒信工程咨询有限公司中标公告 | 北京 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935721.htm
北京市怀柔区宝山镇人民政府2019年怀柔区宝山镇（三块石村）农业综合开发建设项目中标公告 | 2020.02.28 | 北京市怀柔区宝山镇人民政府 | 北京中益宏华工程造价咨询有限公司中标公告 | 北京 | 工程/构筑物施工/环保工程施工/其他环保工程施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935706.htm
万载投资发展集团有限公司项目收益专项公司债券发行主承销商服务项目中标公告 | 2020.02.28 | 万载投资发展集团有限公司 | 江西万森招标咨询有限公司中标公告 | 江西 | 服务/金融服务/证券服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935704.htm
通渭县教育局对2020年农村义务教育营养改善计划学生纯牛奶采购项目中标公告 | 2020.02.28 | 通渭县教育体育局 | 甘肃鑫天马工程造价咨询有限公司中标公告 | 甘肃 | 货物/食品、饮料和烟草原料 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935615.htm
广西鼎荷工程管理有限公司关于桂平江北新区回建地配套工程（GGZC2019-G2-024616-GXDH）中标公告 | 2020.02.28 | 桂平市住房和城乡建设局 | 广西鼎荷工程管理有限公司中标公告 | 广西 | 工程/建筑物施工/房屋附属设施施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935624.htm
济南市中心医院济南市中心医院东院区部分建筑结构拆除处置施工工程采购项目中标公告 | 2020.02.28 | 济南市中心医院 | 中经国际招标集团有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935595.htm
中山市生态环境局中山市重点污染源在线监控系统视频及通信线路租用项目（第三次）的中标公告 | 2020.02.28 | 中山市生态环境局 | 广州金良工程咨询有限公司中山分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935575.htm
即开票分拣及物流服务项目中标公告 | 2020.02.28 | 北京市福利彩票发行中心本级 | 北京汇诚金桥国际招标有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935596.htm
东莞市谢岗镇规划管理所谢岗镇TOD商住地块场地土壤环境初步调查的中标、成交公告 | 2020.02.28 | 东莞市谢岗镇规划管理所 | 东莞通华项目咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935579.htm
明哲路（明堂路至绿华路段）雨污分流管网改造及管道清淤工程成交公告 | 2020.02.28 | 湛江经济技术开发区城市综合管理局 | 广东远东招标代理有限公司湛江分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935581.htm
济南市槐荫区人民政府吴家堡街道办事处辖区进村道路提升项目中标公告 | 2020.02.28 | 济南市槐荫区人民政府吴家堡街道办事处 | 山东卓越招标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935559.htm
荣成市市政建设公用事业发展中心关于大疃镇镇区道路路灯改造安装工程中标公告 | 2020.02.28 | 荣成市市政建设公用事业发展中心 | 山东永平房地产评估有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935560.htm
某单位电子产品采购中标公告 | 2020.02.28 | 某单位 | 三明市阳光招标代理有限公司中标公告 | 福建 | 货物/通用设备/计算机设备及软件/其他计算机设备及软件 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935540.htm
景德镇地区健身器材采购项目中标公告 | 2020.02.28 | *********** | 江西鑫鸿川工程管理咨询有限公司中标公告 | 江西 | 货物/专用设备/体育设备/健身设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935644.htm
岷县林业和草原局2019年度岷县三北防护林工程五期项目中标公告 | 2020.02.28 | 岷县林业和草原局 | 甘肃长青招标代理有限公司中标公告 | 甘肃 | 货物/农林牧渔业产品/林业产品/育种和育苗/苗木类 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935543.htm
惠州市惠阳公路管理局公路养护服务的中标、成交公告 | 2020.02.28 | 惠州市惠阳公路管理局 | 广东泰然招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935542.htm
广东省明康监狱服刑人员大宗生活物资采购（冷鲜及冷冻肉）项目（重招）中标公告 | 2020.02.28 | 广东省明康监狱 | 广东鼎信招标采购有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935493.htm
泰来县人民医院数字化平板血管造影系统中标公告 | 2020.02.28 | 泰来县人民医院 | 北京国际贸易有限公司中标公告 | 黑龙江 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935518.htm
安徽铜陵郊区经济开发区管理委员会铜陵市南部城区污水处理厂及配套管网建设工程PPP项目预中标结果公示 | 2020.02.28 | 安徽铜陵郊区经济开发区管理委员会 | 国信国采（南京）招标有限责任公司中标公告 | 安徽 | PPP | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935501.htm
全自动粪便分析仪等结果公告(包1) | 2020.02.28 | 福建省漳州市医院 | 厦门市公物采购招投标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935511.htm
福清市渔溪镇中心卫生院医疗设备一批货物类采购项目结果公告(包1) | 2020.02.28 | 福清市渔溪镇中心卫生院 | 福建嘉森招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935499.htm
晋江市农业农村局2019年度市级粮食安全应急杂交稻储备种子采购项目货物类采购项目结果公告(包1) | 2020.02.28 | 晋江市农业农村局 | 福建信发招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935512.htm
永泰县市容环境管理中心城区新增环卫一体化服务类采购项目结果公告(包1) | 2020.02.28 | 永泰县市容环境管理中心 | 福建顺德招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935509.htm
信息系统运维管理软件结果公告(包1) | 2020.02.28 | 福建省漳州市医院 | 厦门市公物采购招投标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935498.htm
2020年布类洗涤管理结果公告(包1) | 2020.02.28 | 宁德市医院 | 福建省智信招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935496.htm
广西嘉华建设项目管理咨询有限公司关于中国人民解放军联勤保障部队第九二四医院食堂餐饮服务保障社会化委托经营（GXJH2019-D045）中标公告 | 2020.02.28 | 中国人民解放军联勤保障部队第九二四医院 | 广西嘉华建设项目管理咨询有限公司中标公告 | 广西 | 服务/住宿和餐饮服务/餐饮服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935606.htm
文县卫生健康局关于乡镇卫生院清零补短板心电图机等医疗设备采购项目中标公示 | 2020.02.28 | 文县卫生健康局 | 福建省建融工程咨询有限公司中标公告 | 甘肃 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935474.htm
汕尾市城区卫生健康局村卫生站38种医用设备采购项目的中标、成交公告 | 2020.02.28 | 汕尾市城区卫生健康局 | 汕尾采阳招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935457.htm
中山市代建项目管理办公室中山市儿童公园工程（功能性检测）（第二次）的中标公告 | 2020.02.28 | 中山市代建项目管理办公室 | 广东省城规建设监理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935449.htm
广州市公安局预审监管支队被服采购项目（GZGP19-PZ11-HG088）中标公告 | 2020.02.28 | 广州市公安局 | 广东平正招标采购服务有限公司广州分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935446.htm
惠州市惠东县铁涌镇人民政府铁涌镇生活垃圾保洁清运服务项目（不含村级清扫保洁）的中标、成交公告 | 2020.02.28 | 惠州市惠东县铁涌镇人民政府 | 惠州诚濠晟项目管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935456.htm
广西建标建设工程咨询有限责任公司关于2019年新招录辅警服装采购（GLZC2020-G1-00019-GXJB）中标结果公告 | 2020.02.28 | 林市公安局 | 广西建标建设工程咨询有限责任公司中标公告 | 广西 | 货物/纺织原料、毛皮、被服装具/被服装具/被服/普通服装 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935588.htm
兰州市安宁区人民医院医疗设备中标公告 | 2020.02.28 | 兰州市安宁区人民医院 | 兰州市安宁区公共资源交易中心中标公告 | 甘肃 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935427.htm
张家川县农业局张家川回族自治县农业农村局2020年度政策性农业保险服务机构入围项目中标公告 | 2020.02.28 | 张家川县农业局 | 甘肃全信招标代理有限公司中标公告 | 甘肃 | 服务/金融服务/保险服务/其他保险服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935423.htm
雷州市附城卫生院手术室、ICU净化工程的成交公告 | 2020.02.28 | 雷州市附城卫生院 | 广东泰合四方招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935407.htm
景东园、景南园景观绿化工程成交结果公告 | 2020.02.28 | 玉田县住房和城乡建设局 | 河北博鳌招标代理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935402.htm
珠海市卫生学校教材采购项目（2019～2020学年度）中标公告 | 2020.02.28 | 珠海市卫生学校 | 公诚管理咨询有限公司第七分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935408.htm
广州医科大学附属第五医院整体改扩建工程可行性研究报告编制服务采购项目中标公告 | 2020.02.28 | 广州医科大学附属第五医院 | 中经国际招标集团有限公司广东分公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935551.htm
南雄市中医院彩色多普勒超声诊断仪采购项目（项目编号：FEGD-CT20008）中标结果公告 | 2020.02.28 | 南雄市中医院 | 广东远东招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935376.htm
大理白族自治州中心血站病毒灭活血浆设备紧急询价采购项目中标公示 | 2020.02.28 | 大理白族自治州中心血站 | 大理建设工程招标有限公司中标公告 | 云南 | 货物/专用设备/医疗设备/消毒灭菌设备及器具 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935375.htm
黎平县应急管理局2019-2020年度受灾群众冬春救助棉衣被采购项目中标（成交）公告 | 2020.02.28 | 黎平县应急管理局 | 贵州腾达项目管理咨询有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935355.htm
通化市中医院系统升级改造项目中标公告 | 2020.02.28 | 通化市中医院 | 吉林省华发招标造价咨询有限公司中标公告 | 吉林 | 服务/信息技术服务/软件开发服务/应用软件开发服务/行业应用软件开发服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935336.htm
福建省智信招标有限公司关于宁德市医院2020年布类洗涤管理中标公告 | 2020.02.28 | 宁德市医院 | 福建省智信招标有限公司中标公告 | 福建 | 服务/其他服务,服务/医疗卫生和社会服务/医疗卫生服务/卫生院和社区医疗服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935435.htm
施秉县江凯河桥危桥改造工程施工招标中标（成交）公告 | 2020.02.28 | 施秉县交通建设发展有限公司 | 贵州凯君达招标有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935248.htm
青岛蓝谷高新技术产业开发区管理委员会青岛蓝谷高新区垃圾分类设备采购项目中标公告 | 2020.02.28 | 青岛蓝谷高新技术产业开发区管理委员会 | 青岛佳易工程管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935255.htm
隆化县2019年第二批抗旱应急项目中标公告 | 2020.02.28 | 隆化县水务局 | 河北瑞信项目管理咨询有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935249.htm
新兴县大江镇人民政府大江镇人民政府干部职工宿舍楼配套设施建设工程的中标、成交公告 | 2020.02.28 | 新兴县大江镇人民政府 | 云浮市高升工程咨询服务有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935257.htm
青岛蓝谷高新技术产业开发区管理委员会青岛蓝谷高新区垃圾分类设备采购项目中标公告 | 2020.02.28 | 青岛蓝谷高新技术产业开发区管理委员会 | 青岛佳易工程管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935220.htm
乐昌市北乡镇人民政府北乡镇美丽乡村示范镇创建-下茅坪村小型公园建设的中标、成交公告 | 2020.02.28 | 乐昌市北乡镇人民政府 | 广东省机电设备招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935219.htm
临沂市兰山区土山头水库除险加固工程中标公告 | 2020.02.28 | 临沂市兰山区水务局 | 山东鸿泰工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935229.htm
乐昌市廊田镇廊田村委会社会主义新农村建设项目（李屋片）的中标、成交公告 | 2020.02.28 | 乐昌市廊田镇人民政府 | 广东省广大工程顾问有限公司韶关分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935226.htm
乐昌市北乡镇人民政府乐昌市北乡镇上丛行政村公共服务中心的中标、成交公告 | 2020.02.28 | 乐昌市北乡镇人民政府 | 广东省机电设备招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935207.htm
福建省漳州市医院输液分拣系统货物类采购项目结果公告(包1) | 2020.02.28 | 福建省漳州市医院 | 漳州诚毅招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935231.htm
福州市中医院新病房综合大楼机械停车库设备采购和安装项目结果公告(包1) | 2020.02.28 | 福州市中医院 | 福建省博益招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935210.htm
福建省漳州市医院呼吸机货物类采购项目结果公告(包1) | 2020.02.28 | 福建省漳州市医院 | 漳州诚毅招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935209.htm
半程镇市级美丽乡村片区尚庄子村建设项目中标公告 | 2020.02.28 | 临沂市兰山区半程镇人民政府 | 山东正平招标咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935200.htm
石家庄第六届（元氏县）旅游产业发展大会总体规划成交公告 | 2020.02.28 | 元氏县文化广电体育和旅游局 | 河北金信成招标有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935184.htm
临夏回族自治州机关事务管理局临夏州州级2020-2021年党政机关事业单位车辆协议供货项目中标公告 | 2020.02.28 | 临夏回族自治州机关事务管理局 | 临夏回族自治州公共资源交易中心中标公告 | 甘肃 | 服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935187.htm
福建经发－国际公开招标－1658-2041FJJF0003术中彩色多普勒超声波诊断仪结果公告 | 2020.02.28 | 厦门大学附属中山医院 | 福建经发招标代理有限公司中标公告 | 福建 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935304.htm
毕节市七星关区水务局河湖管理范围划定及岸线保护与规划编制单位中标（成交）公告 | 2020.02.28 | 毕节市七星关区水务局 | 北京建友工程造价咨询有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935162.htm
陆良县利用开发性政策性银行贷款建设森林城市政府和社会资本合作（PPP）项目社会投资人采购预中标公示 | 2020.02.28 | 陆良县林业和草原局 | 云南安延工程咨询有限公司中标公告 | 云南 | PPP | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935143.htm
普宁市第二中学办公家具配套项目中标公告 | 2020.02.28 | 普宁市第二中学 | 揭阳市公共资源交易中心中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935141.htm
大安市文化广播电视和旅游局《大安嫩江湾旅游区创建5A级旅游景区提升规划及全程咨询服务》编制服务中标公告 | 2020.02.28 | 大安市文化广播电视和旅游局 | 长春市科胜招标投标代理有限公司中标公告 | 吉林 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935142.htm
武邑木艺博物馆项目中标公告 | 2020.02.28 | 武邑县文化体育广电新闻出版局 | 衡水建银工程造价事务所有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935124.htm
武邑木艺博物馆项目监理中标公告 | 2020.02.28 | 武邑县文化体育广电新闻出版局 | 衡水建银工程造价事务所有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935123.htm
荣成市人民政府石岛管理区城乡建设局绿化苗木中标公告 | 2020.02.28 | 荣成市人民政府石岛管理区城乡建设局 | 山东志诚工程咨询管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935116.htm
南宁市邕宁区城市建设投资有限公司新能源汽车整车及配套零件部件制造基地基础配套设施项目（土石方平整工程一期）中标公告 | 2020.02.28 | 南宁市邕宁区城市建设投资有限公司 | 广西新宇建设项目管理有限公司中标公告 | 广西 | 工程/工程准备/土石方工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935270.htm
大安市第一人民医院医疗设备一批中标公告 | 2020.02.28 | 大安市第一人民医院 | 长春市科胜招标投标代理有限公司中标公告 | 吉林 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935099.htm
淄川区太河镇东东峪村2018市级美丽乡村示范村项目施工工程中标公告 | 2020.02.28 | 淄博市淄川区太河镇人民政府 | 山东天马招标代理有限公司淄博分公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935095.htm
